10.5161 	INFO 	Loaded monitor calibration from ['2024_08_09 11:55']
11.8510 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021724447280>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021724447220>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021724447070>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002172480A190>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.8511 	EXP 	window1: backgroundImage = ''
11.8511 	EXP 	window1: backgroundFit = 'none'
11.8514 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000217244473A0>
11.8516 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000217244473A0>
11.8535 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000217244473A0>
11.8541 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000217244473A0>
11.8743 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8756 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8768 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8781 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8794 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8803 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8814 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8827 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8834 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8841 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8854 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8865 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8875 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8886 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8897 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8908 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8920 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8928 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8937 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8950 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8959 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.8963 	DEBUG 	Uploading Texture Font fontname to graphics card
11.9058 	DEBUG 	Upload of Texture Font fontname complete
11.9074 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000217244473A0>
11.9076 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000217244473A0>
11.9083 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000217244473A0>
11.9088 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000217244473A0>
11.9346 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.9372 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.9399 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.9406 	DEBUG 	Uploading Texture Font fontname to graphics card
11.9582 	DEBUG 	Upload of Texture Font fontname complete
11.9605 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
11.9605 	EXP 	window1: recordFrameIntervals = False
12.1447 	EXP 	window1: recordFrameIntervals = True
12.3284 	EXP 	Screen (0) actual frame rate measured at 59.75Hz
12.3285 	EXP 	window1: recordFrameIntervals = False
12.3286 	EXP 	window1: mouseVisible = True
12.3293 	EXP 	window1: mouseVisible = True
